location,start_date,end_date,description,USA for sure,timestamp
Phoenix,4/1/2017,4/2/2017,Phoenix gay pride,1,20170216000808
Miami,4/7/2017,4/9/2017,Miami Beach gay pride,1,20170216000808
New Orleans,4/16/2017,4/16/2017,Gay Easter Parade,1,20170216000808
Washington D.C,4/20/2017,4/23/2017,Cherry,1,20170216000808
Cleveland,4/27/2017,4/30/2017,Claw Leather Awareness,1,20170430133150
Dallas,4/28/2017,5/1/2017,Purple Party,1,20170430133150
Palm Springs,5/4/2017,5/7/2017,Blatino Oasis,1,20170430133150
Palm Springs,5/5/2017,5/8/2017,White Party Palm Springs,1,20170430133150
Los Angeles,5/20/2017,5/21/2017,Long Beach Pride,1,20170430133150
Chicago,5/25/2017,5/29/2017,International Mr Leather,1,20170430133150
Miami,5/25/2017,5/29/2017,Sizzle,1,20170430133150
Las Vegas,5/26/2017,5/29/2017,Matinee Las Vegas Festival,1,20170430133150
Miami,5/26/2017,6/4/2017,4th World Outgames 2017,1,20170430133150
Washington D.C,5/26/2017,5/29/2017,DC Black Pride,1,20170430133150
Orlando,5/30/2017,6/5/2017,Disney Gay Days,1,20170430133150
Orlando,6/2/2017,6/4/2017,One Magical Weekend,1,20170430133150
Boston,6/3/2017,6/11/2017,Boston Pride,1,20170606142336
Key West,6/7/2017,6/11/2017,Key West PrideFest,1,20170606142336
New Orleans,6/9/2017,6/11/2017,Gay Pride New Orleans,1,20170606142336
Washington D.C,6/9/2017,6/11/2017,Capital pride,1,20170606142336
Detroit,6/10/2017,6/11/2017,Motor City Pride,1,20170606142336
New York,6/17/2017,6/25/2017,NYC Gay Pride,1,20170624193132
Portland,6/17/2017,6/18/2017,Portland Pride,1,20170612224258
Houston,6/18/2017,6/25/2017,Gay Pride Houston,1,20170624193132
New York,6/18/2017,6/18/2017,Folsom Street East,1,20170612224258
Chicago,6/24/2017,6/25/2017,Chicago Pride,1,20170624193132
Cleveland,6/24/2017,6/24/2017,Cleveland Pride,1,20170624193132
San Francisco,6/24/2017,6/25/2017,San Francisco Pride,1,20170624193132
Seattle,6/25/2017,6/25/2017,Seattle Pride,1,20170624193132
Provincetown,6/29/2017,7/6/2017,Independence Weekend,1,20170703064340
Provincetown,7/8/2017,7/16/2017,Bear Week,1,20170703064340
Seattle,8/5/2017,8/12/2017,RSVP gay Alaska cruise,1,20170718072114
Chicago,8/12/2017,8/13/2017,Northalsted Market Days,1,20170718072114
Black Rock Desert,8/27/2017,9/4/2017,Burning man,1,20170818204900
New Orleans,8/30/2017,9/4/2017,Southern Decadence,1,20170818204900
Dallas,9/16/2017,9/17/2017,Dallas Pride Weekend,1,20170818204900
Orlando,9/26/2017,10/1/2017,Bear Bash,1,20170919072341
Austin,9/30/2017,9/30/2017,Austin Gay Pride,1,20170919072341
Los Angeles,10/6/2017,10/8/2017,Gay Days Anaheim,1,20171007081717
San Diego,10/14/2017,10/21/2017,Atlantis Mexico cruise,1,20171021034442
Las Vegas,10/20/2017,10/22/2017,Las Vegas Pride,1,20171021034442
Austin,10/21/2017,10/21/2017,Austin Gay Pride,1,20171021034442
Honolulu,10/21/2017,10/21/2017,Honolulu gay pride,1,20171021034442
Los Angeles,10/31/2017,10/31/2017,Gay Halloween Streetparty,1,20171021034442
Palm Springs,11/3/2017,11/5/2017,Greater Palm Springs Pride,1,20171021034442
Miami,11/23/2017,11/27/2017,White Party Week,1,20171119010656
Aspen,1/14/2018,1/21/2018,Gay and Lesbian Ski Week,1,20180120232738
Fort Lauderdale,1/20/2018,1/27/2018,Atlantis Caribbean all gay cruise,1,20180120232738
Fort Lauderdale,2/9/2018,2/11/2018,Pride Fort Lauderdale,1,20180206181114
New Orleans,2/9/2018,2/13/2018,Gay Mardi Gras,1,20180206181114
Fort Lauderdale,2/11/2018,2/18/2018,RSVP Caribbean Cruise,1,20180214023437
Miami,2/28/2018,3/6/2018,Winter Party Miami,1,20180214023437
Mammoth Lakes,3/14/2018,3/18/2018,Elevation Mammoth gay ski week,1,20180318061951
New Orleans,4/1/2018,4/1/2018,Gay Easter Parade,1,20180318061951
Miami,4/2/2018,4/8/2018,Miami Beach gay pride,1,20180408065530
Tampa,4/2/2018,4/9/2018,Olivia Lesbian Cruise,1,20180408065530
Phoenix,4/7/2018,4/8/2018,Phoenix gay pride,1,20180408065530
Washington D.C,4/12/2018,4/15/2018,Cherry,1,20180408065530
Cleveland,4/26/2018,4/29/2018,Claw Leather Awareness,1,20180620225535
Palm Springs,4/27/2018,4/30/2018,White Party Palm Springs,1,20180620225535
Palm Springs,5/4/2018,5/6/2018,Blatino Oasis,1,20180620225535
Dallas,5/11/2018,5/14/2018,Purple Party,1,20180620225535
Los Angeles,5/19/2018,5/20/2018,Long Beach Pride,1,20180620225535
New York,5/20/2018,5/20/2018,NY AIDS Walk,1,20180620225535
Chicago,5/24/2018,5/28/2018,International Mr Leather,1,20180620225535
Miami,5/24/2018,5/28/2018,Sizzle,1,20180620225535
Las Vegas,5/25/2018,5/28/2018,Matinee Las Vegas Festival,1,20180620225535
Washington D.C,5/25/2018,5/28/2018,DC Black Pride,1,20180620225535
Orlando,5/29/2018,6/3/2018,Disney Gay Days,1,20180620225535
Boston,6/1/2018,6/10/2018,Boston Pride,1,20180620225535
Orlando,6/1/2018,6/4/2018,One Magical Weekend,1,20180620225535
Key West,6/6/2018,6/10/2018,Key West PrideFest,1,20180620225535
Washington D.C,6/7/2018,6/10/2018,Capital pride,1,20180620225535
New Orleans,6/8/2018,6/10/2018,Gay Pride New Orleans,1,20180620225535
Detroit,6/9/2018,6/10/2018,Motor City Pride,1,20180620225535
Los Angeles,6/9/2018,6/10/2018,Los Angeles Pride,1,20180620225535
Philadelphia,6/10/2018,6/10/2018,Philly Gay Pride,1,20180620225535
New York,6/15/2018,6/24/2018,NYC Gay Pride,1,20180620225535
Denver,6/16/2018,6/17/2018,Gay Pride Fest Denver,1,20180620225535
Portland,6/16/2018,6/17/2018,Portland Pride,1,20180620225535
Providence,6/16/2018,6/16/2018,Rhode Island Pride,1,20180620225535
New York,6/17/2018,6/17/2018,Folsom Street East,1,20180620225535
Chicago,6/23/2018,6/24/2018,Chicago Pride,1,20180620225535
Minneapolis,6/23/2018,6/24/2018,Twin Cities Pride,1,20180620225535
San Francisco,6/23/2018,6/24/2018,San Francisco Pride,1,20180620225535
Seattle,6/23/2018,6/24/2018,Seattle Pride,1,20180620225535
Houston,6/24/2018,6/30/2018,Gay Pride Houston,1,20180620225535
Provincetown,6/27/2018,7/6/2018,Independence Weekend,1,20180620225535
Provincetown,7/7/2018,7/15/2018,Bear Week,1,20180620225535
San Diego,7/14/2018,7/15/2018,San Diego Pride,1,20180620225535
San Francisco,7/29/2018,7/29/2018,Up Your Alley,1,20180620225535
Chicago,8/11/2018,8/12/2018,Northalsted Market Days,1,20180620225535
Provincetown,8/11/2018,8/17/2018,Carnival,1,20180620225535
Key West,8/15/2018,8/19/2018,Tropical Heat,1,20180620225535
New York,8/15/2018,8/19/2018,NYC Black Pride: Explosion,1,20180620225535
Austin,8/25/2018,8/25/2018,Austin Gay Pride,1,20180620225535
Black Rock Desert,8/26/2018,9/3/2018,Burning man,1,20180620225535
New Orleans,8/30/2018,9/3/2018,Southern Decadence,1,20180620225535
San Francisco,9/9/2018,9/9/2018,Oakland Gay Pride,1,20180620225535
Dallas,9/15/2018,9/16/2018,Dallas Pride Weekend,1,20180620225535
Orlando,9/25/2018,9/30/2018,Bear Bash,1,20180620225535
San Francisco,9/30/2018,9/30/2018,Folsom Street Fair,1,20180620225535
Los Angeles,10/5/2018,10/7/2018,Gay Days Anaheim,1,20180620225535
Atlanta,10/13/2018,10/14/2018,Atlanta Pride,1,20180620225535
Atlanta,10/13/2018,10/14/2018,Atlanta Pride ,1,20181208102934
Oceanside,10/13/2018,10/13/2018,Pride @ the beach ,1,20181208102934
Orlando,10/13/2018,10/13/2018,Orlando Pride,1,20180620225535
San Diego,10/14/2018,10/21/2018,Atlantis Mexico cruise,1,20180620225535
Las Vegas,10/19/2018,10/21/2018,Las Vegas Pride,1,20180620225535
Honolulu,10/20/2018,10/20/2018,Honolulu gay pride,1,20180620225535
New Orleans,10/26/2018,10/28/2018,Halloween ,1,20181208102934
Los Angeles,10/31/2018,10/31/2018,Gay Halloween Streetparty,1,20180620225535
Palm Springs,11/2/2018,11/4/2018,Greater Palm Springs Pride,1,20180620225535
Miami,11/22/2018,11/26/2018,White Party Week,1,20180620225535
Fort Lauderdale,11/23/2018,12/3/2018,Pig Week ,1,20181208102934
San Francisco,12/7/2018,12/9/2018,Black XXXMas ,1,20181208102934
Aspen,1/13/2019,1/20/2019,Gay and Lesbian Ski Week,1,20180620225535
Washington D.C,1/18/2019,1/20/2019,Mid Atlantic Leather Weekend ,1,20181208102934
Miami,2/3/2019,2/10/2019,Atlantis Allure all gay cruise ,1,20181208102934
Fort Lauderdale,2/10/2019,2/17/2019,RSVP Caribbean Cruise ,1,20181208102934
Fort Lauderdale,2/24/2019,2/24/2019,Pride Fort Lauderdale ,1,20181208102934
Miami,2/27/2019,3/5/2019,Winter Party Miami ,1,20181208102934
New Orleans,2/28/2019,3/5/2019,Gay Mardi Gras ,1,20181208102934
Fort Lauderdale,3/17/2019,3/24/2019,Atlantis Celebrity Edge gay cruise ,1,20181208102934
Miami,4/1/2019,4/7/2019,Miami Beach gay pride,1,20190324102639
Phoenix,4/6/2019,4/7/2019,Phoenix gay pride,1,20190324102639
Cleveland,4/25/2019,4/28/2019,Claw Leather Awareness,1,20190424100409
Palm Springs,4/26/2019,4/29/2019,White Party Palm Springs,1,20190424100409
Palm Springs,5/3/2019,5/5/2019,Blatino Oasis,1,20190424100409
Dallas,5/9/2019,5/13/2019,Purple Party,1,20190424100409
Los Angeles,5/18/2019,5/19/2019,Long Beach Pride,1,20190911024932
Chicago,5/23/2019,5/27/2019,International Mr Leather,1,20190911024932
Miami,5/23/2019,5/27/2019,Sizzle,1,20190911024932
Washington D.C,5/24/2019,5/27/2019,DC Black Pride,1,20190911024932
Boston,5/31/2019,6/9/2019,Boston Pride,1,20190911024932
Orlando,5/31/2019,6/3/2019,One Magical Weekend,1,20190911024932
Cleveland,6/1/2019,6/1/2019,Cleveland Pride,1,20190911024932
Dallas,6/1/2019,6/2/2019,Dallas Pride Weekend,1,20190911024932
New York,6/1/2019,6/30/2019,NYC Gay Pride / Worldpride,1,20190911024932
Key West,6/5/2019,6/9/2019,Key West PrideFest,1,20190911024932
Washington D.C,6/6/2019,6/9/2019,Capital pride,1,20190911024932
New Orleans,6/7/2019,6/9/2019,Gay Pride New Orleans,1,20190911024932
Detroit,6/8/2019,6/9/2019,Motor City Pride,1,20190911024932
Los Angeles,6/8/2019,6/9/2019,Los Angeles Pride,1,20190911024932
Philadelphia,6/9/2019,6/9/2019,Philly Gay Pride,1,20190911024932
Denver,6/15/2019,6/16/2019,Gay Pride Fest Denver,1,20190911024932
Portland,6/15/2019,6/16/2019,Portland Pride,1,20190911024932
Providence,6/15/2019,6/15/2019,Rhode Island Pride,1,20190911024932
Chicago,6/22/2019,6/23/2019,Chicago Pride,1,20190911024932
Houston,6/22/2019,6/22/2019,Gay Pride Houston,1,20190911024932
Minneapolis,6/22/2019,6/23/2019,Twin Cities Pride,1,20190911024932
New York,6/23/2019,6/23/2019,Folsom Street East,1,20190911024932
Provincetown,6/28/2019,7/5/2019,Independence Weekend,1,20190911024932
New York,6/29/2019,6/29/2019,Harlem Pride,1,20190911024932
San Francisco,6/29/2019,6/30/2019,San Francisco Pride,1,20190911024932
Chicago,6/30/2019,6/30/2019,Chicago Pride,1,20190911024932
Seattle,6/30/2019,6/30/2019,Seattle Pride,1,20190911024932
San Diego,7/12/2019,7/14/2019,San Diego Pride,1,20190911024932
Provincetown,7/13/2019,7/21/2019,Bear Week,1,20190911024932
Seattle,7/14/2019,7/21/2019,RSVP gay Alaska cruise,1,20190911024932
San Francisco,7/28/2019,7/28/2019,Up Your Alley,1,20190911024932
Chicago,8/10/2019,8/11/2019,Northalsted Market Days,1,20190911024932
New York,8/11/2019,8/18/2019,Vacaya PTown gay cruise,1,20190911024932
Orlando,8/13/2019,8/19/2019,Disney Gay Days,1,20190911024932
Provincetown,8/15/2019,8/24/2019,Carnival,1,20190911024932
Black Rock Desert,8/25/2019,9/2/2019,Burning man,1,20190911024932
New Orleans,8/29/2019,9/2/2019,Southern Decadence,1,20190911024932
Austin,8/30/2019,9/2/2019,Splash Days,1,20190911024932
San Francisco,9/8/2019,9/8/2019,Oakland Gay Pride,1,20190911024932
San Francisco,9/29/2019,9/29/2019,Folsom Street Fair,1,20190911024932
Los Angeles,10/4/2019,10/6/2019,Gay Days Anaheim,1,20190911024932
Atlanta,10/11/2019,10/13/2019,Atlanta Pride,1,20190911024932
Oceanside,10/12/2019,10/12/2019,Pride @ the beach,1,20190911024932
Orlando,10/12/2019,10/12/2019,Orlando Pride,1,20190911024932
Honolulu,10/19/2019,10/19/2019,Honolulu gay pride,1,20190911024932
New Orleans,10/25/2019,10/27/2019,Halloween,1,20190911024932
Palm Springs,11/1/2019,11/3/2019,Greater Palm Springs Pride,1,20190911024932
Fort Lauderdale,11/30/2019,12/8/2019,Pig Week,1,20190911024932
Aspen,1/12/2020,1/19/2020,Gay and Lesbian Ski Week,1,20190911024932
Washington D.C,1/17/2020,1/19/2020,Mid Atlantic Leather Weekend,1,20190911024932
Miami,1/19/2020,1/26/2020,Atlantis Oasis all gay cruise,1,20190911024932
New Orleans,2/20/2020,2/25/2020,Gay Mardi Gras,1,20200225054213
Miami,3/4/2020,3/10/2020,Winter Party Miami,1,20200225054213
Dallas,5/7/2020,5/11/2020,Purple Party,1,20200316004457
Orlando,10/10/2020,10/10/2020,Orlando Pride,1,20200825165614
Mammoth Lakes,3/17/2021,3/21/2021,Elevation Mammoth gay ski week,1,20210223181023
New York,6/18/2021,6/20/2021,Folsom Street East,1,20210422021109
Los Angeles,9/17/2021,9/19/2021,Gay Days Anaheim,1,20210918154342
Las Vegas,10/8/2021,10/9/2021,Las Vegas Pride,1,20210918154342
Los Angeles,10/31/2021,11/7/2021,Atlantis LA Mexico gay cruise,1,20210918154342
Fort Lauderdale,11/20/2021,11/21/2021,Pride Fort Lauderdale,1,20210918154342
Fort Lauderdale,11/20/2021,11/21/2021,Pride of the Americas,1,20210918154342
Miami,1/15/2022,1/23/2022,Atlantis Oasis all gay cruise,1,20210918154342
Aspen,1/16/2022,1/23/2022,Gay and Lesbian Ski Week,1,20220118142544
Miami,1/28/2022,2/7/2022,Atlantis Americas gay cruise,1,20220201084449
Palm Springs,2/24/2022,2/28/2022,International Bear Convergence IBC,1,20220201084449
New Orleans,3/1/2022,3/1/2022,Gay Mardi Gras,1,20220201084449
Miami,3/2/2022,3/8/2022,Winter Party Miami,1,20220303172758
Mammoth Lakes,3/16/2022,3/20/2022,Elevation Mammoth gay ski week,1,20220303172758
Cleveland,4/27/2022,5/1/2022,Claw Leather Awareness,1,20220423111305
Palm Springs,4/29/2022,5/1/2022,White Party Palm Springs,1,20220423111305
Dallas,5/5/2022,5/9/2022,Purple Party,1,20220423111305
Chicago,5/26/2022,5/30/2022,International Mr Leather,1,20220519193046
Miami,5/26/2022,5/30/2022,Sizzle,1,20220519193046
Washington D.C,5/27/2022,5/30/2022,DC Black Pride,1,20220519193046
Orlando,5/31/2022,6/6/2022,Disney Gay Days,1,20220519193046
Key West,6/1/2022,6/5/2022,Key West Pride,1,20220519193046
Orlando,6/2/2022,6/6/2022,One Magical Weekend,1,20220519193046
Cleveland,6/4/2022,6/4/2022,Cleveland Pride,1,20220519193046
Dallas,6/4/2022,6/5/2022,Dallas Pride Weekend,1,20220519193046
Los Angeles,6/10/2022,6/12/2022,Los Angeles Pride,1,20220519193046
Washington D.C,6/10/2022,6/12/2022,Capital pride,1,20220519193046
Detroit,6/11/2022,6/12/2022,Motor City Pride,1,20220519193046
Oceanside,6/11/2022,6/11/2022,Pride by the beach,1,20220519193046
Portland,6/18/2022,6/19/2022,Portland Pride,1,20220519193046
Providence,6/18/2022,6/18/2022,Rhode Island Pride,1,20220519193046
Denver,6/25/2022,6/26/2022,Gay Pride Fest Denver,1,20220626025938
Minneapolis,6/25/2022,6/26/2022,Twin Cities Pride,1,20220626025938
San Francisco,6/25/2022,6/26/2022,San Francisco Pride,1,20220626025938
Seattle,6/25/2022,6/26/2022,Seattle Pride,1,20220626025938
Chicago,6/26/2022,6/26/2022,Chicago Pride,1,20220626025938
New York,6/26/2022,6/26/2022,NYC Gay Pride,1,20220626025938
Los Angeles,7/8/2022,7/10/2022,Long Beach Pride,1,20220626025938
San Diego,7/9/2022,7/17/2022,San Diego Pride,1,20220714214246
San Francisco,7/31/2022,7/31/2022,Up Your Alley,1,20220714214246
Chicago,8/6/2022,8/7/2022,Northalsted Market Days,1,20220714214246
Austin,8/13/2022,8/13/2022,Austin Gay Pride,1,20220810090812
New Orleans,9/1/2022,9/5/2022,Southern Decadence,1,20220901034345
Los Angeles,9/16/2022,9/18/2022,Gay Days Anaheim,1,20220901034345
San Francisco,9/25/2022,9/25/2022,Folsom Street Fair,1,20220901034345
Las Vegas,10/7/2022,10/8/2022,Las Vegas Pride,1,20220901034345
Honolulu,10/15/2022,10/15/2022,Honolulu gay pride,1,20220901034345
Orlando,10/15/2022,10/15/2022,Orlando Pride,1,20220901034345
Los Angeles,10/21/2022,10/28/2022,Atlantis LA Mexico gay cruise,1,20220901034345
Palm Springs,11/4/2022,11/6/2022,Greater Palm Springs Pride,1,20220901034345
Phoenix,11/6/2022,11/7/2022,Phoenix LGBT+ gay pride festival,1,20220901034345
Fort Lauderdale,11/25/2022,12/4/2022,Pig Week,1,20220901034345
Washington D.C,1/13/2023,1/16/2023,Mid Atlantic Leather Weekend,1,20230110021932
Aspen,1/15/2023,1/22/2023,Gay and Lesbian Ski Week,1,20230110021932
Orlando,1/22/2023,1/29/2023,Atlantis gay cruise on NCL Prima,1,20230110021932
Fort Lauderdale,2/4/2023,2/12/2023,Atlantis gay cruise on Harmony,1,20230110021932
Fort Lauderdale,2/10/2023,2/12/2023,Pride Fort Lauderdale,1,20230110021932
Miami,2/10/2023,2/17/2023,RSVP Caribbean gay cruise,1,20230110021932
Orlando,3/5/2023,3/12/2023,Atlantis gay cruise on NCL Prima,1,20220519193046
Miami,3/8/2023,3/14/2023,Winter Party Miami,1,20230110021932
Mammoth Lakes,3/15/2023,3/19/2023,Elevation Mammoth gay ski week,1,20230110021932
Cleveland,4/6/2023,4/9/2023,Claw Leather Awareness,1,20230110021932
Miami,4/15/2023,4/16/2023,Miami Beach gay pride,1,20230110021932
Palm Springs,5/12/2023,5/14/2023,White Party Palm Springs,1,20230110021932
Dallas,6/3/2023,6/4/2023,Dallas Pride Weekend,1,20230110021932
Oceanside,6/3/2023,6/3/2023,Pride by the beach,1,20230110021932
Key West,6/7/2023,6/11/2023,Key West Pride,1,20230110021932
Denver,6/24/2023,6/25/2023,Gay Pride Fest Denver,1,20230110021932
San Francisco,6/24/2023,6/25/2023,San Francisco Pride,1,20230110021932
Seattle,6/24/2023,6/25/2023,Seattle Pride,1,20230110021932
Los Angeles,9/22/2023,9/24/2023,Gay Days Anaheim,1,20230110021932
